price_previous,stochk_14_current,class
242.7,55.55555555555623,1
243.6,75.04713423831045,1
243.5,80.02450980392116,0
243.8,82.10784313725487,1
243.8,85.60924369747927,1
243.7,86.30952380952391,0
243.9,88.09523809523813,0
243.8,87.91208791208794,0
243.8,89.92673992674055,0
243.7,84.61538461538484,1
243.4,74.35897435897455,1
243.5,58.13908313908306,1
243.7,68.18181818181891,0
243.4,47.222222222223365,1
243.6,37.50000000000088,1
243.4,37.50000000000088,1
243.5,33.333333333334515,1
243.7,45.83333333333361,1
243.8,62.500000000000284,0
243.9,75.00000000000058,1
243.7,75.00000000000058,0
243.8,70.83333333333421,1
243.8,70.83333333333421,0
243.5,16.6666666666659,0
243.3,31.48148148148163,1
243.5,29.62962962962989,0
243.6,49.735449735449656,1
243.7,85.71428571428288,1
243.4,33.333333333334735,0
243.4,34.92063492063627,1
243.6,42.06349206349282,1
243.5,44.44444444444502,1
243.7,61.111111111110056,0
245.2,47.91666666666654,1
245.1,44.27083333333314,0
245.5,43.74999999999983,0
245.4,32.555018786902735,0
245.6,45.005611672278064,1
245.1,59.44055944055873,1
245.2,62.820512820511986,1
245.8,81.1463046757168,0
246.2,26.666666666666387,0
246.2,8.88888888888836,0
246.4,54.761904761904546,0
246.3,70.89947089947083,0
246.0,61.904761904761756,1
246.5,73.01587301587256,1
246.5,79.36507936507894,0
246.5,85.71428571428531,1
246.8,82.664995822891,1
246.3,58.333333333333705,0
246.4,49.99999999999997,1
246.2,42.42424242424193,0
243.3,66.66666666666761,0
243.3,62.247474747475366,1
243.3,51.13636363636466,0
243.4,45.83333333333361,0
243.5,45.83333333333361,0
243.6,54.166666666666366,0
243.4,50.0,1
243.6,54.166666666666366,0
243.2,46.6666666666659,1
243.6,56.66666666666533,0
243.6,66.66666666666477,1
243.6,79.99999999999828,0
243.7,83.33333333333142,0
243.8,86.66666666666458,1
243.5,83.33333333333144,0
243.8,86.66666666666553,1
243.6,79.74358974358908,0
243.9,84.61538461538456,0
243.4,36.3636363636362,0
243.8,54.54545454545517,0
243.8,66.66666666666752,0
243.7,75.757575757577,0
243.5,63.63636363636465,1
243.6,54.54545454545517,0
243.6,51.51515151515144,1
243.6,48.48484848484856,1
243.7,48.48484848484856,0
243.8,56.666666666667226,0
243.7,61.515151515151814,1
243.7,57.61904761904742,0
243.7,43.80952380952266,0
243.7,38.095238095236546,0
243.6,36.507936507934886,1
243.4,66.66666666666802,1
243.5,76.19047619047716,0
244.4,42.31884057970973,1
244.0,51.7632850241545,0
244.5,71.20772946859908,0
244.7,68.88888888888879,1
245.0,72.22222222222223,1
244.8,77.7777777777778,0
244.5,79.99999999999993,0
244.5,75.55555555555544,0
243.4,71.75925925925921,0
243.3,68.68945868945805,1
243.5,66.83760683760579,1
243.4,54.456654456653865,1
243.7,54.68975468975446,0
244.1,62.77056277056304,1
244.1,69.1142191142188,1
244.6,77.1929824561402,0
244.6,78.94736842105239,0
244.5,75.43859649122804,0
244.3,68.73065015479894,0
244.3,62.919246646027176,1
244.2,50.26260504201707,1
244.2,34.98168498168489,1
244.2,35.89743589743573,1
244.2,32.30769230769172,0
244.3,32.82051282051253,0
244.4,36.66666666666652,1
244.2,38.33333333333298,0
244.2,29.166666666665826,0
243.5,20.00000000000044,1
243.7,47.22222222222239,0
243.9,62.777777777778084,0
243.8,76.1111111111116,0
243.9,83.33333333333431,1
243.9,83.93939393939486,0
244.0,87.272727272728,0
243.2,62.35294117647146,0
243.5,69.49494949494998,0
243.5,69.49494949494998,1
243.9,80.21978021978012,0
243.7,85.71428571428595,0
243.7,85.71428571428595,1
243.6,76.19047619047636,1
243.6,71.42857142857117,0
243.8,76.6233766233772,1
243.9,80.08658008658112,1
244.0,81.81818181818281,1
245.1,64.10256410256358,1
244.6,56.410256410255954,0
244.6,48.71794871794831,1
244.3,43.16239316239307,1
244.7,37.37373737373759,0
244.4,38.38383838383855,1
