price_current,sma30_previous,class
242.9,243.07,1
243.5,243.02,1
243.8,243.02,0
243.8,243.03333333333336,1
243.7,243.0533333333333,1
243.9,243.07333333333332,0
243.8,243.09333333333333,0
243.8,243.11,0
243.7,243.1266666666667,0
243.4,243.15,1
243.4,243.16666666666663,1
244.0,243.18666666666664,1
243.8,243.23666666666665,0
243.5,243.29666666666668,1
243.4,243.35,1
243.5,243.40666666666667,1
243.7,243.42666666666665,1
243.8,243.46,1
243.9,243.4933333333333,0
243.7,243.53333333333333,1
243.8,243.56666666666663,0
243.8,243.6033333333333,1
243.7,243.63333333333333,0
243.6,243.64,0
243.5,243.59666666666664,1
243.6,243.58666666666667,0
243.6,243.58333333333331,1
243.7,243.60333333333335,1
243.4,243.56333333333333,0
243.6,243.56333333333333,1
243.5,243.57,1
243.7,243.57,1
243.7,243.57,0
245.1,243.98666666666665,1
245.5,244.03333333333333,0
245.3,244.1,0
245.6,244.4766666666666,0
245.3,244.54666666666665,1
245.2,244.64666666666665,1
245.4,244.7,1
245.5,244.9533333333333,0
246.0,246.16666666666663,0
246.3,246.22,0
246.3,246.15,0
246.0,246.15,0
246.1,246.1133333333333,1
246.5,246.09000000000003,1
246.5,246.0966666666667,0
246.3,246.11000000000004,1
246.4,246.10666666666668,1
246.4,246.11,0
246.2,246.11666666666667,1
246.1,246.1233333333333,0
243.4,243.13333333333333,0
243.3,243.1266666666667,1
243.4,243.17333333333332,0
243.5,243.23666666666665,0
243.7,243.25666666666663,0
243.4,243.30666666666667,0
243.6,243.31666666666663,1
243.5,243.33333333333331,0
243.3,243.41333333333333,1
243.6,243.44000000000003,0
243.6,243.44666666666672,1
243.7,243.45000000000007,0
243.8,243.46000000000004,0
243.5,243.4733333333334,1
243.8,243.47333333333336,0
243.6,243.48666666666668,1
243.9,243.49000000000007,0
243.6,243.51,0
243.8,243.4933333333333,0
243.8,243.50333333333333,0
243.7,243.50666666666663,0
243.5,243.51,0
243.6,243.5133333333333,1
243.6,243.51333333333332,0
243.6,243.51333333333335,1
243.7,243.51666666666668,1
243.8,243.5333333333334,0
243.7,243.55000000000007,0
243.7,243.5666666666667,1
243.7,243.58,0
243.7,243.58333333333331,0
243.6,243.58666666666664,0
243.6,243.58333333333331,1
243.5,243.52,1
243.5,243.51,0
244.0,243.37,1
244.5,243.38,0
244.7,243.41,0
244.4,243.44666666666663,1
244.8,243.5533333333333,1
244.5,243.59666666666664,0
244.5,243.63333333333333,0
244.4,243.67,0
243.5,243.61999999999995,0
243.5,243.58,1
243.4,243.54,1
243.7,243.50666666666663,1
244.1,243.48,0
243.9,243.45,1
244.3,243.38,1
244.6,243.50333333333336,0
244.5,243.55000000000007,0
244.3,243.59000000000003,0
244.3,243.63,0
244.2,243.69666666666672,1
244.0,243.7433333333333,1
244.2,243.83666666666664,1
244.2,243.87,1
244.3,243.9,0
244.4,243.92,0
244.2,243.95666666666665,1
244.2,243.98333333333332,0
244.1,244.00666666666663,0
243.7,243.9966666666666,1
243.9,243.9633333333333,0
243.8,243.94666666666663,0
243.9,243.91333333333333,0
243.9,243.89,1
244.0,243.86666666666665,0
243.9,243.85,0
243.1,243.33666666666667,0
243.4,243.31666666666663,0
243.4,243.31666666666663,1
243.7,243.2866666666666,0
243.7,243.27999999999997,0
243.6,243.26999999999995,1
243.6,243.26,1
243.9,243.25,0
243.9,243.27666666666667,1
244.0,243.29333333333332,1
244.2,243.31,1
244.6,243.5533333333333,1
244.6,243.67333333333332,0
244.3,243.72666666666672,1
244.2,243.76333333333335,1
244.4,243.85666666666668,0
244.4,243.9,1
