stochk_14_current,wpr14_previous,class
55.55555555555623,-54.54545454545549,1
75.04713423831045,-12.500000000000892,1
80.02450980392116,-23.529411764705984,0
82.10784313725487,-5.8823529411760775,1
85.60924369747927,-12.499999999999332,1
86.30952380952391,-21.428571428572152,0
88.09523809523813,-7.142857142856707,0
87.91208791208794,-14.285714285713414,0
89.92673992674055,-15.384615384614374,0
84.61538461538484,-23.07692307692375,1
74.35897435897455,-46.15384615384532,1
58.13908313908306,-41.66666666666706,1
68.18181818181891,-50.000000000002366,0
47.222222222223365,-74.99999999999824,1
37.50000000000088,-50.00000000000001,1
37.50000000000088,-74.99999999999824,1
33.333333333334515,-62.49999999999911,1
45.83333333333361,-37.500000000000895,1
62.500000000000284,-24.99999999999823,0
75.00000000000058,-12.499999999999115,1
75.00000000000058,-37.500000000000895,0
70.83333333333421,-24.99999999999823,1
70.83333333333421,-24.99999999999823,0
16.6666666666659,-83.33333333333412,0
31.48148148148163,-77.77777777777601,1
29.62962962962989,-55.55555555555521,0
49.735449735449656,-44.4444444444448,1
85.71428571428288,-14.285714285717187,1
33.333333333334735,-57.14285714285656,0
34.92063492063627,-57.14285714285656,1
42.06349206349282,-33.333333333334906,1
44.44444444444502,-50.0,1
61.111111111110056,-16.666666666669823,0
47.91666666666654,-57.81250000000021,1
44.27083333333314,-59.375000000000135,0
43.74999999999983,-53.125000000000036,0
32.555018786902735,-59.2592592592593,0
45.005611672278064,-40.909090909091375,1
59.44055944055873,-55.555555555556076,1
62.820512820511986,-30.769230769231612,1
81.1463046757168,-11.76470588235235,0
26.666666666666387,-80.00000000000115,0
8.88888888888836,-80.00000000000115,0
54.761904761904546,-5.5555555555552045,0
70.89947089947083,-23.80952380952355,0
61.904761904761756,-38.095238095238216,1
73.01587301587256,-14.285714285714672,1
79.36507936507894,-14.285714285714672,0
85.71428571428531,-14.285714285714672,1
82.664995822891,-14.285714285713414,1
58.333333333333705,-58.33333333333294,0
49.99999999999997,-50.0,1
42.42424242424193,-66.66666666666825,0
66.66666666666761,-29.999999999998288,0
62.247474747475366,-54.54545454545431,1
51.13636363636466,-74.99999999999824,0
45.83333333333361,-62.49999999999911,0
45.83333333333361,-50.00000000000001,0
54.166666666666366,-37.500000000000895,0
50.0,-62.49999999999911,1
54.166666666666366,-37.500000000000895,0
46.6666666666659,-60.00000000000227,1
56.66666666666533,-20.0000000000017,0
66.66666666666477,-20.0000000000017,1
79.99999999999828,-20.0000000000017,0
83.33333333333142,-10.000000000002274,0
86.66666666666458,-0.0,1
83.33333333333144,-30.000000000001133,0
86.66666666666553,-0.0,1
79.74358974358908,-20.0000000000017,0
84.61538461538456,-15.384615384614714,0
36.3636363636362,-63.63636363636294,0
54.54545454545517,-27.272727272725863,0
66.66666666666752,-27.272727272725863,0
75.757575757577,-36.36363636363706,0
63.63636363636465,-54.54545454545431,1
54.54545454545517,-45.45454545454569,0
51.51515151515144,-45.45454545454569,1
48.48484848484856,-45.45454545454569,1
48.48484848484856,-36.36363636363706,0
56.666666666667226,-27.272727272725863,0
61.515151515151814,-40.000000000000576,1
57.61904761904742,-40.000000000000576,0
43.80952380952266,-57.14285714285889,0
38.095238095236546,-57.14285714285889,0
36.507936507934886,-66.66666666666825,1
66.66666666666802,-42.857142857141106,1
76.19047619047716,-28.57142857142741,0
42.31884057970973,-0.0,1
51.7632850241545,-30.43478260869539,0
71.20772946859908,-30.000000000000192,0
68.88888888888879,-23.333333333333908,1
72.22222222222223,-13.333333333333526,1
77.7777777777778,-19.999999999999808,0
79.99999999999993,-30.000000000000192,0
75.55555555555544,-30.000000000000192,0
71.75925925925921,-22.2222222222224,0
68.68945868945805,-33.333333333333336,1
66.83760683760579,-23.07692307692375,1
54.456654456653865,-44.4444444444448,1
54.68975468975446,-14.285714285717187,0
62.77056277056304,-9.09090909090862,1
69.1142191142188,-16.66666666666785,1
77.1929824561402,-21.052631578947604,0
78.94736842105239,-21.052631578947604,0
75.43859649122804,-26.31578947368413,0
68.73065015479894,-36.84210526315718,0
62.919246646027176,-41.1764705882349,1
50.26260504201707,-50.00000000000089,1
34.98168498168489,-61.53846153846187,1
35.89743589743573,-61.53846153846187,1
32.30769230769172,-61.53846153846187,0
32.82051282051253,-69.99999999999885,0
36.66666666666652,-59.999999999999424,1
38.33333333333298,-80.00000000000115,0
29.166666666665826,-75.00000000000179,0
20.00000000000044,-66.66666666666667,1
47.22222222222239,-41.66666666666706,0
62.777777777778084,-24.999999999998817,0
76.1111111111116,-19.999999999998863,0
83.33333333333431,-9.999999999999432,1
83.93939393939486,-9.999999999999432,0
87.272727272728,-9.09090909090862,0
62.35294117647146,-33.333333333333336,0
69.49494949494998,-13.333333333332574,0
69.49494949494998,-13.333333333332574,1
80.21978021978012,-7.142857142856707,0
85.71428571428595,-21.428571428572152,0
85.71428571428595,-21.428571428572152,1
76.19047619047636,-28.57142857142886,1
71.42857142857117,-28.57142857142886,0
76.6233766233772,-28.57142857142741,1
80.08658008658112,-27.272727272725863,1
81.81818181818281,-18.18181818181724,1
64.10256410256358,-30.76923076923127,1
56.410256410255954,-50.00000000000055,0
48.71794871794831,-50.00000000000055,1
43.16239316239307,-61.538461538461455,1
37.37373737373759,-50.000000000000604,0
38.38383838383855,-68.18181818181765,1
